Judge Identification Number,Judge Last Name,Judge First Name,Judge Middle Name,Suffix,Birth month,Birth day,Birth year,Place of Birth (City),Place of Birth (State),Death month,Death day,Death year,Place of Death (City),Place of Death (State),Gender,Race or Ethnicity,Judge Identification Number,Court Name,Court Type,President name,Party Affiliation of President,Renominating President name,Party Affiliation of Renominating President,Nomination Date Senate Executive Journal,ABA Rating,Recess Appointment date,Vice last name (predecessor),Vice first name (predecessor),Authorization legislation,Referral date (referral to Judicial Committee),Report number,Committee action,Committee action date,Hearings,Senate voice vote,Senate vote Ayes/Nays,Senate Vote Date (Confirmation Date),Commission Date,Date of Service as Chief Judge (begin),Date of Service as Chief Judge (end),Second Date of Service as Chief Judge (begin),Second Date of Service as Chief Judge (end),Retirement from Active Service,Date of Termination,Termination specific reason,Judge Identification Number,Court Name (2),Court Type (2),President name (2),Party Affiliation of President (2),Renominating President name (2),Party Affiliation of Renominating President (2),Nomination Date Senate Executive Journal (2),ABA Rating (2),Recess Appointment date (2),Vice last name (predecessor) (2),Vice first name (predecessor) (2),Authorization legislation (2),referral date (referral to Judicial Committee) (2),Report number (2),committee action (2),Committee action date (2),Hearings (2),Senate voice vote (2),Senate vote Ayes/Nays (2),Senate Vote Date (Confirmation Date) (2),Commission Date (2),Date of Service as Chief Judge (begin) (2),Date of Service as Chief Judge (end) (2),Second Date of Service as Chief Judge (begin) (2),Second Date of Service as Chief Judge (end) (2),Retirement from Active Service (2),Date of Termination (2),Termination specific reason (2),Judge Identification Number,Court Name (3),Court Type (3),President name (3),Party Affiliation of President (3),Renominating President name (3),Party Affiliation of Renominating President (3),Nomination Date Senate Executive Journal (3),ABA Rating (3),Recess Appointment date (3),Vice last name (predecessor) (3),Vice first name (predecessor) (3),Authorization legislation (3),referral date (referral to Judicial Committee) (3),Report number (3),committee action (3),Committee action date (3),Hearings (3),Senate voice vote (3),Senate vote Ayes/Nays (3),Senate Vote Date (Confirmation Date) (3),Commission Date (3),Date of Service as Chief Judge (begin) (3),Date of Service as Chief Judge (end) (3),Second Date of Service as Chief Judge (begin) (3),Second Date of Service as Chief Judge (end) (3),Retirement from Active Service (3),Date of Termination (3),Termination specific reason (3),Judge Identification Number,Court Name (4),Court Type (4),President name (4),Party Affiliation of President (4),Renominating President name (4),Party Affiliation of Renominating President (4),Nomination Date Senate Executive Journal (4),ABA Rating (4),Recess Appointment date (4),Vice last name (predecessor) (4),Vice first name (predecessor) (4),Authorization legislation (4),referral date (referral to Judicial Committee) (4),Report number (4),committee action (4),Committee action date (4),Hearings (4),Senate voice vote (4),Senate vote Ayes/Nays (4),Senate Vote Date (Confirmation Date) (4),Commission Date (4),Date of Service as Chief Judge (begin) (4),Date of Service as Chief Judge (end) (4),Second Date of Service as Chief Judge (begin) (4),Second Date of Service as Chief Judge (end) (4),Retirement from Active Service (4),Date of Termination (4),Termination specific reason (4),Judge Identification Number,Court Name (5),Court Type (5),President name (5),Party Affiliation of President (5),Renominating President name (5),Party Affiliation of Renominating President (5),Nomination Date Senate Executive Journal (5),ABA Rating (5),Recess Appointment date (5),Vice last name (predecessor) (5),Vice first name (predecessor) (5),Authorization legislation (5),referral date (referral to Judicial Committee) (5),Report number (5),committee action (5),Committee action date (5),Hearings (5),Senate voice vote (5),Senate vote Ayes/Nays (5),Senate Vote Date (Confirmation Date) (5),Commission Date (5),Date of Service as Chief Judge (begin) (5),Date of Service as Chief Judge (end) (5),Second Date of Service as Chief Judge (begin) (5),Second Date of Service as Chief Judge (end) (5),Retirement from Active Service (5),Date of Termination (5),Termination specific reason (5),Judge Identification Number,Court Name (6),Court Type (6),President name (6),Party Affiliation of President (6),Nomination Date Senate Executive Journal (6),Renominating President name (6),Party Affiliation of Renominating President (6),ABA Rating (6),Recess Appointment date (6),Vice last name (predecessor) (6),Vice first name (predecessor) (6),Authorization legislation (6),referral date (referral to Judicial Committee) (6),Report number (6),committee action (6),Committee action date (6),Hearings (6),Senate voice vote (6),Senate vote Ayes/Nays (6),Senate Vote Date (Confirmation Date) (6),Commission Date (6),Date of Service as Chief Judge (begin) (6),Date of Service as Chief Judge (end) (6),Second Date of Service as Chief Judge (begin) (6),Second Date of Service as Chief Judge (end) (6),Retirement from Active Service (6),Date of Termination (6),Termination specific reason (6),Name of School,Degree,Degree year,Name of School (2),Degree (2),Degree year (2),Name of School (3),Degree (3),Degree year (3),Name of School (4),Degree (4),Degree year (4),Name of School (5),Degree  (5),Degree year (5),Employment text field,Bankruptcy and Magistrate service
433,Claiborne,Harry,E., ,7,2,1917,McRae,AR,1,19,2004,Las Vegas,NV,M,White,433,"U. S. District Court, District of Nevada",USDC,Jimmy Carter,Democratic,,,07/25/1978,Well Qualified,,Thompson,Bruce R., ,07/25/1978, ,Reported With Recommendation,08/09/1978, ,Yes, ,08/11/1978,08/11/1978,1980,1986,,,,10/09/1986,Impeachment & Conviction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumberland School of Law,LL.B.,1941,,,,,,,,,,,,,"Private practice, Las Vegas, Nevada, 1946-1978, 1987-2004<BR>Chief deputy district attorney, Clark County, Nevada, 1946-1948<BR>State assemblyman, Nevada, 1948<BR>City attorney, North Las Vegas, Nevada, 1948-1955<BR>City attorney, Henderson, Nevada, 1959",
434,Clancy,John,William, ,2,24,1888,New York,NY,3,2,1969,New York,NY,M,White,434,"U. S. District Court, Southern District of New York",USDC,Franklin D. Roosevelt,Democratic,,,06/15/1936, ,,new, ,49 Stat. 1491,06/15/1936, ,Reported With Recommendation,06/19/1936, ,Yes, ,06/20/1936,06/22/1936,1956,1959,,,04/03/1959,03/02/1969,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fordham College,B.A.,1909,Fordham University School of Law,LL.B.,1912,,,,,,,,,,"Private practice, New York City, 1912-1936",
435,Clarie,T.,Emmet, ,1,1,1913,Killingly,CT,9,24,1997,Danielson,CT,M,White,435,"U. S. District Court, District of Connecticut",USDC,John F. Kennedy,Democratic,,,09/05/1961, ,,new, ,75 Stat. 80,09/05/1961, ,Reported With Recommendation,09/14/1961, ,Yes, ,09/14/1961,09/18/1961,1974,1983,,,01/01/1983,09/24/1997,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providence College,Ph.B.,1933,Hartford College of Law (now University of Connecticut School of Law),LL.B.,1938,,,,,,,,,,"State representative, Connecticut, 1937-1943; Democratic floor leader, 1939-1943<BR>Private practice, Danielson, Connecticut, 1940-1961<BR>Prosecutor, Killingly Town Court, Danielson, Connecticut, 1951<BR>Assistant to state statute revision commissioner, Connecticut, 1945<BR>Clerk, Connecticut State Senate, 1949<BR>Connecticut State Liquor Commission, 1949-1961; commissioner, 1949-1955; chairman, 1955-1961",
436,Clark,Bennett,Champ, ,1,8,1890,Bowling Green,MO,7,13,1954,Gloucester,MA,M,White,436,U. S. Court of Appeals for the District of Columbia Circuit,USCA,Harry S Truman,Democratic,,,09/12/1945, ,,Arnold,Thurman W., ,09/12/1945, ,Reported With Recommendation,09/19/1945, ,Yes, ,09/24/1945,09/28/1945,,,,,,07/13/1954,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Missouri,B.A.,1913,George Washington University Law School,LL.B.,1914,,,,,,,,,,"Parliamentarian, U.S. House of Representatives, 1913-1917<BR>U.S. Army lieutenant colonel, 1917-1919<BR>Private practice, St. Louis, Missouri, 1919-1932<BR>U.S. senator from Missouri, 1933-1945",
437,Clark,Charles, , ,9,12,1925,Memphis,TN,03,6,2011, , ,M,White,437,U. S. Court of Appeals for the Fifth Circuit,USCA,Richard M. Nixon,Republican,,,10/07/1969,Well Qualified,,Clayton,Claude Feemster, ,10/07/1969, ,Reported With Recommendation,10/15/1969, ,Yes, ,10/15/1969,10/17/1969,1981,1992,,,,01/15/1992,Retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Mississippi School of Law,LL.B.,1948,,,,,,,,,,,,,"U.S. Naval Reserve ensign, 1943-1946<BR>Private practice, Jackson, Mississippi, 1946-1951, 1953-1969<BR>U.S. Naval Reserve lieutenant, 1951-1952",
438,Clark,Charles,Dickens, ,10,7,1847,Laurel Cove,TN,3,15,1908,Chattanooga,TN,M,White,438,"U. S. District Court, Eastern District of Tennessee",USDC,Grover Cleveland,Democratic,,,12/17/1894, ,,Key,David M., ,01/04/1895, ,Reported With Recommendation,01/21/1895, ,Yes, ,01/21/1895,01/21/1895,,,,,,03/15/1908,Death,438,"U. S. District Court, Middle District of Tennessee",USDC,Grover Cleveland,Democratic,,,12/17/1894, ,,Key,David M., ,01/04/1895, ,Reported With Recommendation,01/21/1895, ,Yes, ,01/21/1895,01/21/1895,,,,,,03/15/1908,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burritt College,B.A.,1871,Cumberland School of Law,LL.B.,1873,,,,,,,,,,"Staff, Gen. George G. Dibrell, Confederate States of America, Richmond, Virginia, 1864-1865<BR>Private practice, Manchester, Tennessee, 1876-1883<BR>Private practice, Chattanooga, Tennessee, 1883-1895",
439,Clark,Charles,Edward, ,12,9,1889,Woodbridge,CT,12,13,1963,Hamden,CT,M,White,439,U. S. Court of Appeals for the Second Circuit,USCA,Franklin D. Roosevelt,Democratic,,,01/05/1939, ,,new, ,52 Stat. 584,01/05/1939, ,Reported With Recommendation,03/06/1939, ,Yes, ,03/07/1939,03/09/1939,1954,1959,,,,12/13/1963,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yale College,B.A.,1911,Yale Law School,LL.B.,1913,,,,,,,,,,"Private practice, New Haven, Connecticut, 1913-1919<BR>State representative, Connecticut, 1917-1918<BR>Professor of law, Yale Law School, 1919-1929<BR>Deputy judge, Hamden [Connecticut] Town Court, 1927-1931<BR>Sterling professor of law and dean, Yale Law School, 1929-1939<BR>Special assistant attorney general, Antitrust Division, U.S. Department of Justice, 1938<BR>Visiting lecturer in law, Yale University, 1951-1963",
440,Clark,Chase,Addison, ,8,21,1883,Hadley,IN,12,30,1966, , ,M,White,440,"U. S. District Court, District of Idaho",USDC,Franklin D. Roosevelt,Democratic,,,02/18/1943, ,,Cavanah,Charles C., ,02/18/1943, ,Reported With Recommendation,03/05/1943, ,Yes, ,03/05/1943,03/10/1943,1954,1964,,,04/30/1964,12/30/1966,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan, , ,Read law, ,1904,,,,,,,,,,"Private practice, Mackay, Idaho, 1904-1930<BR>Judge advocate general, State of Idaho, 1914-1915<BR>U.S. Army lieutenant, 1916-<BR>State representative, Idaho, 1913-1916<BR>Private practice, Idaho Falls, Idaho, 1930-1940<BR>State senator, Idaho, 1933-1936<BR>Mayor, Idaho Falls, Idaho,1937-1938<BR>Governor, Idaho, 1941-1942",
441,Clark,Daniel, , ,10,24,1809,Stratham,NH,1,2,1891,Manchester,NH,M,White,441,"U. S. District Court, District of New Hampshire",USDC,Andrew Johnson,Republican,,,07/27/1866, ,,Harvey,Matthew, ,, , ,, ,Yes, ,07/27/1866,07/27/1866,,,,,,01/02/1891,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dartmouth College, ,1834,Read law, ,1836,,,,,,,,,,"Private practice, Epping, New Hampshire, 1836-1839<BR>Private practice, Manchester, New Hampshire, 1839-1842, 1844-1846, 1847-1856, 1856-1861<BR>State representative, New Hampshire, 1842-1843, 1846, 1854-1855<BR>U.S. senator from New Hampshire, 1857-1866<BR>",
2960,Clark,Ron, , ,,,1953,Caripito,Venezuela, , , , , ,M,White,2960,"U. S. District Court, Eastern District of Texas",USDC,George W. Bush,Republican,,,01/23/2002,Well Qualified,,Cobb,Howell, ,, ,Reported With Recommendation,09/19/2002,8/1/2002,Yes, ,10/02/2002,10/10/2002,2015,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Connecticut,B.A.,1973,University of Connecticut,M.A.,1974,University of Texas School of Law,J.D.,1979,,,,,,,"U.S. Army, 1974-1976<br>U.S. Army Reserve, 1980-1990<br>Assistant city attorney, Abilene, Texas, 1979-1982<br>Private practice, Texas, 1982-2002<br>State representative, District 62, Texas, 1997-2002",
442,Clark,Russell,Gentry, ,7,27,1925,Oregon County,MO,4,17,2003,Springfield,MO,M,White,442,"U. S. District Court, Western District of Missouri",USDC,Jimmy Carter,Democratic,,,06/13/1977,Qualified,,Becker,William H., ,06/13/1977, ,Reported With Recommendation,06/30/1977, ,Yes, ,07/01/1977,07/05/1977,1980,1985,,,08/01/1991,07/31/2000,Retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Missouri School of Law,LL.B.,1952,,,,,,,,,,,,,"U.S. Army lieutenant, 1944-1946<BR>Private practice, Springfield, Missouri, 1952-1977",
443,Clark,Thomas,Alonzo, ,12,20,1920,Atlanta,GA,9,4,2005, , ,M,White,443,U. S. Court of Appeals for the Fifth Circuit,USCA,Jimmy Carter,Democratic,,,08/28/1979,Well Qualified,,new, ,92 Stat. 1629,09/05/1979, ,Reported With Recommendation,10/30/1979, ,Yes, ,10/31/1979,11/02/1979,,,,,,10/01/1981,Reassignment,443,U. S. Court of Appeals for the Eleventh Circuit,USCA,Reassignment,Reassignment,,,, ,,new, ,94 Stat. 1994,, , ,, , , ,,10/01/1981,,,,,08/31/1991,09/04/2005,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington and Lee University,B.S.,1942,University of Georgia School of Law,LL.B.,1949,,,,,,,,,,"U.S. Naval Reserve, 1942-1946<BR>Private practice, Bainbridge, Georgia, 1949-1955<BR>Private practice, Americus, Georgia, 1955-1957<BR>Instructor, Georgia Southwestern College, 1956-1957<BR>Private practice, Tampa, Florida, 1957-1979",
444,Clark,Tom,C., ,9,23,1899,Dallas,TX,6,13,1977,New York,NY,M,White,444,Supreme Court of the United States,USSC,Harry S Truman,Democratic,,,08/02/1949, ,,Murphy,Frank, ,08/02/1949, ,Reported With Recommendation,08/12/1949, ,No,73/8,08/18/1949,08/19/1949,,,,,06/12/1967,06/13/1977,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Texas,A.B.,1921,University of Texas School of Law,LL.B.,1922,,,,,,,,,,"Private practice, Dallas, Texas, 1922-1927, 1932-1937<BR>Civil district attorney, Dallas, Texas, 1927-1932<BR>Special assistant to the Attorney General of the United States, 1937-1943; Bureau of War Risk Litigation, 1937-1938; Antitrust Division, 1938-1943<BR>Assistant attorney general, U.S. Department of Justice, 1943-1945; Antitrust Division, 1943; Criminal Division, 1943-1945<BR>Attorney General of the United States, 1945-1949<BR>Director, Federal Judicial Center, 1968-1970<BR><BR>Given name at birth: Thomas Campbell Clark","Allotment as Circuit Justice:<br>Eighth Circuit, October 14, 1949-March 24, 1957, April 2, 1962-April 15, 1962<br>Tenth Circuit, October 14, 1949-March 24, 1957<br>Seventh Circuit, March 25, 1957-June 12, 1967"
445,Clark,William, , ,2,1,1891,Newark,NJ,10,10,1957, , ,M,White,445,"U. S. District Court, District of New Jersey",USDC,Calvin Coolidge,Republican,,,12/08/1925, ,05/21/1925,Lynch,Charles F., ,12/08/1925, ,Reported With Recommendation,12/16/1925, ,Yes, ,12/17/1925,12/17/1925,,,,,,06/25/1938,Appointment to Another Judicial Position,445,U. S. Court of Appeals for the Third Circuit,USCA,Franklin D. Roosevelt,Democratic,,,06/10/1938, ,,Thompson,Joseph Whitaker, ,06/10/1938, ,Reported With Recommendation,06/15/1938, ,No,57/5,06/16/1938,06/25/1938,,,,,,03/24/1943,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvard University,B.A.,1911,Harvard University,M.A.,1912,Harvard Law School,LL.B.,1915,,,,,,,"U.S. Army, 1917-1918, 1942-1945<BR>Private practice, Newark, New Jersey, 1920-1923<BR>Judge, New Jersey Court of Errors and Appeals, 1923-1924<BR>Chief justice, Allied Appeals Court in Nuremberg, Germany, 1949-1954",
446,Clarke,John,Hessin, ,9,18,1857,New Lisbon,OH,3,22,1945,San Diego,CA,M,White,446,"U. S. District Court, Northern District of Ohio",USDC,Woodrow Wilson,Democratic,,,07/15/1914, ,,Day,William Louis, ,07/15/1914, ,Reported With Recommendation,07/21/1914, ,Yes, ,07/21/1914,07/21/1914,,,,,,07/24/1916,Appointment to Another Judicial Position,446,Supreme Court of the United States,USSC,Woodrow Wilson,Democratic,,,07/14/1916, ,,Hughes,Charles E., ,07/14/1916, ,Reported With Recommendation,07/24/1916, ,Yes, ,07/24/1916,07/24/1916,,,,,,09/18/1922,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Reserve College (now Case Western Reserve University),A.B.,1877,Read law, ,1878,,,,,,,,,,"Private practice, New Lisbon, Ohio, 1878-1880<BR>Private practice, Youngstown, Ohio, 1880-1897<BR>Private practice, Cleveland, Ohio, 1897-1913<BR>","Allotment as Circuit Justice:<br>Seventh Circuit, October 30, 1916-September 18, 1922"
447,Clarke,Joseph,Calvitt,Jr.,8,9,1920,Harrisburg,PA,5,6,2004,Virginia Beach,VA,M,White,447,"U. S. District Court, Eastern District of Virginia",USDC,Gerald Ford,Republican,,,12/11/1974,Qualified,,Hoffman,Walter E., ,12/11/1974, ,Reported With Recommendation,12/18/1974, ,Yes, ,12/19/1974,12/20/1974,,,,,07/31/1991,05/06/2004,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Virginia,B.S.,1945,University of Virginia School of Law,LL.B.,1945,,,,,,,,,,"Private practice, Richmond, Virginia, 1945-1975",
448,Clarke,Thurmond, , ,6,29,1902,Santa Paula,CA,2,28,1971, , ,M,White,448,"U. S. District Court, Southern District of California",USDC,Dwight D. Eisenhower,Republican,,,06/21/1955, ,,new, ,68 Stat. 8,06/21/1955, ,Reported With Recommendation,07/30/1955, ,Yes, ,08/01/1955,08/03/1955,1966,1966,,,,09/18/1966,Reassignment,448,"U. S. District Court, Central District of California",USDC,Reassignment,Reassignment,,,, ,,new, ,80 Stat. 75,, , ,, , , ,,09/18/1966,1966,1970,,,09/01/1970,02/28/1971,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Southern California Law School,LL.B.,1927,,,,,,,,,,,,,"Deputy district attorney, Los Angeles County, California, 1927-1929<BR>Deputy city attorney, Los Angeles, California, 1929-1932<BR>Judge, Los Angeles [California] Municipal Court, 1932-1935<BR>Judge, Superior Court of California, County of Los Angeles, 1935-1955",
449,Clary,Thomas,James, ,8,31,1899,Seneca Falls,NY,8,1,1977,Philadelphia,PA,M,White,449,"U. S. District Court, Eastern District of Pennsylvania",USDC,Harry S Truman,Democratic,,,01/05/1950, ,10/21/1949,new, ,63 Stat. 493,01/05/1950, ,Reported With Recommendation,03/04/1950, ,Yes, ,03/08/1950,03/09/1950,1961,1969,,,03/01/1969,08/01/1977,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,A.B.,1920,Georgetown College Law School (now Georgetown University Law Center),LL.B.,1924,,,,,,,,,,"Private practice, Philadelphia, Pennsylvania, 1924-1949<BR><BR>Nominated to U.S. District Court for the Eastern District of Pennsylvania, October 15, 1949; no Senate vote",
2723,Clay,Eric,L., ,,,1948,Durham,NC, , , , , ,M,African American,2723,U. S. Court of Appeals for the Sixth Circuit,USCA,William J. Clinton,Democratic,,,01/07/1997,Well Qualified,,"Guy, Jr.",Ralph B., ,01/07/1997, ,Reported With Recommendation,05/22/1997,5/7/1997,Yes, ,07/31/1997,08/01/1997,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of North Carolina,B.A.,1969,Yale Law School,J.D.,1972,,,,,,,,,,"Law clerk, Hon. Damon J. Keith, U.S. District Court, Eastern District of Michigan, 1972-1973<BR>Private practice, Detroit, Michigan, 1973-1997<BR><BR>Nominated to U.S. Court of Appeals for the Sixth Circuit, March 6, 1996; no Senate vote",
450,Clay,Joseph, ,Jr.,8,16,1764,Savannah,GA,1,11,1811,Boston,MA,M,White,450,"U. S. District Court, District of Georgia",USDC,George Washington, ,,,12/21/1796, ,09/16/1796,Pendleton,Nathaniel, ,, , ,, ,Yes, ,12/27/1796,01/02/1797,,,,,,05/12/1801,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,College of New Jersey (now Princeton University), ,1784,Read law, ,1790,,,,,,,,,,"Private practice, Savannah, Georgia, 1790-1796, 1802-1804<BR>Assistant pastor, Savannah, Georgia, 1804-1807<BR>Pastor, First Baptist Church, Boston, Massachusetts, 1807-1809<BR><BR>Nominated to U.S. Circuit Court for the Fifth Circuit, February 21, 1801; confirmed, February 24, 1801; declined appointment",
451,Clayton,Claude,Feemster, ,8,4,1909,Tupelo,MS,7,4,1969, , ,M,White,451,"U. S. District Court, Northern District of Mississippi",USDC,Dwight D. Eisenhower,Republican,,,02/24/1958, ,,Cox,Alan, ,02/24/1958, ,Reported With Recommendation,03/03/1958, ,Yes, ,03/04/1958,03/12/1958,1966,1967,,,,11/23/1967,Appointment to Another Judicial Position,451,U. S. Court of Appeals for the Fifth Circuit,USCA,Lyndon B. Johnson,Democratic,,,10/16/1967, ,,new, ,80 Stat. 75,10/16/1967, ,Reported With Recommendation,10/25/1967, ,Yes, ,10/26/1967,10/27/1967,,,,,,07/04/1969,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Mississippi School of Law,LL.B.,1931,,,,,,,,,,,,,"Private practice, Tupelo, Mississippi, 1931-1935, 1945-1958<BR>Prosecutor, Lee County, Mississippi, 1935-1938<BR>Judge, Mississippi Circuit Court, First Judicial District, 1938-1942<BR>U.S. Army, 1942-1945<BR>City attorney, Tupelo, Mississippi, 1949-1953<BR>",
452,Clayton,Henry,De Lamar, ,2,10,1857,Barbour County,AL,12,21,1929, , ,M,White,452,"U. S. District Court, Middle District of Alabama",USDC,Woodrow Wilson,Democratic,,,05/02/1914, ,,Jones,Thomas Goode, ,, , ,, ,Yes, ,05/02/1914,05/02/1914,,,,,,12/21/1929,Death,452,"U. S. District Court, Northern District of Alabama",USDC,Woodrow Wilson,Democratic,,,05/02/1914, ,,Jones,Thomas Goode, ,, , ,, ,Yes, ,05/02/1914,05/02/1914,,,,,,12/21/1929,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Alabama,A.B.,1877,University of Alabama School of Law,LL.B.,1878,,,,,,,,,,"Private practice, Clayton, Alabama, 1878-1880<BR>Private practice, Eufala, Alabama, 1880-1914<BR>Register in chancery, Barbour County, Alabama, 1880-1884<BR>State representative, Alabama, 1890-1891<BR>U.S. attorney for the Middle District of Alabama, 1893-1896<BR>U.S. representative from Alabama, 1897-1914",
