year,tract_name,geo_id,english_only_population_5_and_over,white,total_population,asian,adults_25_to_64_with_bachelors_degree,median_age,total_households,foreign_born_population,population_5_and_over,median_household_income,owner_occupied_homes_median_value,below_poverty_line,black,hispanic,state,county,tract
2010,"Census Tract 4040, Alameda County, California",14000US06001404000,2027,1702,2732,343,2265,37.8,1724,410,2596,62212,395400,258,344,2732,06,001,404000
2010,"Census Tract 4041.01, Alameda County, California",14000US06001404101,2379,2117,2979,314,2205,38.9,1817,421,2797,70042,742500,258,85,2979,06,001,404101
2010,"Census Tract 4041.02, Alameda County, California",14000US06001404102,1981,1672,2451,350,1441,47.6,1585,335,2411,49824,470600,174,172,2451,06,001,404102
2010,"Census Tract 4042, Alameda County, California",14000US06001404200,2520,2176,3271,309,1821,43.1,1411,414,3092,144554,949400,106,185,3271,06,001,404200
2010,"Census Tract 4043, Alameda County, California",14000US06001404300,2729,2546,3197,379,1912,45,1336,469,3056,192083,1000001,39,51,3197,06,001,404300
2010,"Census Tract 4044, Alameda County, California",14000US06001404400,3837,3510,5391,948,3516,42.8,2265,891,4953,129266,888800,63,168,5391,06,001,404400
2010,"Census Tract 4045.01, Alameda County, California",14000US06001404501,1476,1373,1702,226,985,48,717,196,1639,130625,960100,32,24,1702,06,001,404501
2010,"Census Tract 4045.02, Alameda County, California",14000US06001404502,4397,4554,5858,486,3572,42.3,2493,765,5367,129963,847000,174,219,5858,06,001,404502
2010,"Census Tract 4046, Alameda County, California",14000US06001404600,3721,3207,4525,414,2765,47.3,1842,629,4276,141938,831900,68,539,4525,06,001,404600
2010,"Census Tract 4047, Alameda County, California",14000US06001404700,1595,1390,2026,251,1236,43.6,824,278,1859,131042,788500,52,177,2026,06,001,404700
2010,"Census Tract 4048, Alameda County, California",14000US06001404800,1756,1010,2551,540,1543,42.1,1302,648,2396,67375,671500,288,683,2551,06,001,404800
2010,"Census Tract 4049, Alameda County, California",14000US06001404900,2791,2250,4412,993,2816,41.7,1952,932,4098,64102,602900,163,368,4412,06,001,404900
2010,"Census Tract 4050, Alameda County, California",14000US06001405000,2477,2237,3244,323,2057,40.7,1454,319,2912,92763,759800,99,442,3244,06,001,405000
2010,"Census Tract 4051, Alameda County, California",14000US06001405100,3419,3049,4295,301,2555,42.7,1577,311,3858,160893,908300,89,497,4295,06,001,405100
2010,"Census Tract 4052, Alameda County, California",14000US06001405200,2746,1566,4390,1278,3158,37.9,2404,1253,4153,52549,550500,414,721,4390,06,001,405200
2010,"Census Tract 4053.01, Alameda County, California",14000US06001405301,1823,899,2839,526,1973,36.6,1660,556,2662,52669,382900,377,788,2839,06,001,405301
2010,"Census Tract 4053.02, Alameda County, California",14000US06001405302,1144,706,2780,780,1763,42.1,1663,1264,2521,24152,642900,1118,626,2780,06,001,405302
2010,"Census Tract 4054.01, Alameda County, California",14000US06001405401,1444,259,3782,1404,2264,32.8,1558,1777,3551,25816,310300,867,839,3782,06,001,405401
2010,"Census Tract 4054.02, Alameda County, California",14000US06001405402,1420,464,2834,998,1842,38.7,1189,1019,2697,32296,343800,596,789,2834,06,001,405402
2010,"Census Tract 4055, Alameda County, California",14000US06001405500,1347,744,3497,1686,2080,38.6,1467,1498,3354,43892,443600,540,595,3497,06,001,405500
2010,"Census Tract 4056, Alameda County, California",14000US06001405600,1321,444,2988,1060,2011,36,1348,1217,2872,42016,472500,588,804,2988,06,001,405600
2010,"Census Tract 4057, Alameda County, California",14000US06001405700,1406,297,3151,1170,1853,33.4,1270,1119,3022,40208,434700,558,856,3151,06,001,405700
2010,"Census Tract 4058, Alameda County, California",14000US06001405800,1030,341,3733,2095,1986,32.3,1218,1752,3518,34488,372200,1085,617,3733,06,001,405800
2010,"Census Tract 4059.01, Alameda County, California",14000US06001405901,855,234,3841,1334,1824,30.1,1076,1840,3580,38897,558600,1270,335,3841,06,001,405901
2010,"Census Tract 4059.02, Alameda County, California",14000US06001405902,576,385,2892,1287,1564,35.1,940,1715,2691,38407,371800,556,458,2892,06,001,405902
2010,"Census Tract 4060, Alameda County, California",14000US06001406000,1082,454,3223,1122,1758,32.9,1382,1584,2986,28053,343800,1049,552,3223,06,001,406000
2010,"Census Tract 4061, Alameda County, California",14000US06001406100,1135,489,3359,517,1873,33,1345,1125,3161,50066,423900,695,328,3359,06,001,406100
2010,"Census Tract 4062.01, Alameda County, California",14000US06001406201,1199,44,5579,1304,2924,28,1395,2753,4727,26458,418900,2066,974,5579,06,001,406201
2010,"Census Tract 4062.02, Alameda County, California",14000US06001406202,675,321,4277,683,2423,28.7,1219,2323,3658,24577,421200,1658,168,4277,06,001,406202
2010,"Census Tract 4063, Alameda County, California",14000US06001406300,1430,256,4181,1064,2317,32.7,1220,1729,3738,38553,429500,590,1202,4181,06,001,406300
2010,"Census Tract 4064, Alameda County, California",14000US06001406400,1519,717,2469,484,947,41.3,717,598,2409,45368,461900,670,803,2469,06,001,406400
2010,"Census Tract 4065, Alameda County, California",14000US06001406500,1752,401,5564,1041,3222,33.3,1789,2529,4939,33750,414600,1044,1168,5564,06,001,406500
2010,"Census Tract 4066.01, Alameda County, California",14000US06001406601,2021,499,4460,1049,2651,37.9,1878,1659,4096,42120,477300,811,1617,4460,06,001,406601
2010,"Census Tract 4066.02, Alameda County, California",14000US06001406602,1181,585,2434,662,1145,35.8,896,919,2359,36611,297900,321,686,2434,06,001,406602
2010,"Census Tract 4067, Alameda County, California",14000US06001406700,3090,2415,4822,1129,2943,44.7,2166,1161,4583,84722,565200,456,593,4822,06,001,406700
2010,"Census Tract 4068, Alameda County, California",14000US06001406800,2452,1375,3596,926,2117,41.2,1385,817,3378,74620,554300,209,704,3596,06,001,406800
2010,"Census Tract 4069, Alameda County, California",14000US06001406900,2233,1345,4174,1192,2549,37.2,1551,1237,3963,67337,558200,597,660,4174,06,001,406900
2010,"Census Tract 4070, Alameda County, California",14000US06001407000,2366,973,5921,1794,3484,33.5,2045,2651,5485,32995,359800,1500,1426,5921,06,001,407000
2010,"Census Tract 4071.01, Alameda County, California",14000US06001407101,910,157,3851,618,1971,26.9,976,1747,3524,38654,367400,1127,492,3851,06,001,407101
2010,"Census Tract 4071.02, Alameda County, California",14000US06001407102,1447,266,4434,809,2062,28.5,1220,1555,4029,43013,390700,1378,865,4434,06,001,407102
2010,"Census Tract 4072, Alameda County, California",14000US06001407200,685,244,5636,616,2948,28.3,1599,3151,5292,34978,475400,1496,332,5636,06,001,407200
2010,"Census Tract 4073, Alameda County, California",14000US06001407300,589,107,2552,421,1437,32.8,735,1372,2396,39583,212000,674,384,2552,06,001,407300
2010,"Census Tract 4074, Alameda County, California",14000US06001407400,1274,138,4026,170,2047,26.1,1125,1863,3635,28551,395200,1175,952,4026,06,001,407400
2010,"Census Tract 4075, Alameda County, California",14000US06001407500,1624,68,3551,305,1681,29.4,1311,1005,3261,29350,408000,1115,1408,3551,06,001,407500
2010,"Census Tract 4076, Alameda County, California",14000US06001407600,3708,652,6457,533,3163,28.6,2205,1438,5930,44338,453600,1927,3280,6457,06,001,407600
2010,"Census Tract 4077, Alameda County, California",14000US06001407700,3354,769,4407,412,2585,41.9,1803,598,4238,67829,471100,470,2453,4407,06,001,407700
2010,"Census Tract 4078, Alameda County, California",14000US06001407800,2172,878,2773,113,1410,32.5,755,348,2713,53750,453200,216,917,2773,06,001,407800
2010,"Census Tract 4079, Alameda County, California",14000US06001407900,2297,1203,2846,456,1938,43.6,1102,493,2741,90263,598600,253,704,2846,06,001,407900
2010,"Census Tract 4080, Alameda County, California",14000US06001408000,1673,1413,2260,513,1382,46,964,526,2200,118526,764100,0,35,2260,06,001,408000
2010,"Census Tract 4081, Alameda County, California",14000US06001408100,3529,2346,5735,934,3407,48.9,2450,1228,5354,105032,730100,158,1645,5735,06,001,408100
2010,"Census Tract 4082, Alameda County, California",14000US06001408200,2797,684,4037,206,2385,40.1,1649,766,3789,57011,445900,417,2170,4037,06,001,408200
2010,"Census Tract 4083, Alameda County, California",14000US06001408300,3637,1336,5070,146,2825,34.4,1861,404,4732,55601,443400,1090,2490,5070,06,001,408300
2010,"Census Tract 4084, Alameda County, California",14000US06001408400,1665,79,3387,121,2013,34.9,1155,1070,3099,43447,363600,588,1499,3387,06,001,408400
2010,"Census Tract 4085, Alameda County, California",14000US06001408500,2336,143,5113,215,2176,28.3,1445,1437,4645,35920,371100,1538,2165,5113,06,001,408500
2010,"Census Tract 4086, Alameda County, California",14000US06001408600,2645,354,5646,231,2715,31.6,1711,1586,5054,33395,377200,1494,2613,5646,06,001,408600
2010,"Census Tract 4087, Alameda County, California",14000US06001408700,3319,193,6891,729,3655,31.3,2147,2160,6446,40017,394100,1470,2771,6891,06,001,408700
2010,"Census Tract 4088, Alameda County, California",14000US06001408800,2287,69,5369,441,2596,26.7,1623,1841,4849,21917,385000,1942,2307,5369,06,001,408800
2010,"Census Tract 4089, Alameda County, California",14000US06001408900,1658,77,3283,64,1610,31.8,1024,1076,2991,21512,285900,1201,1505,3283,06,001,408900
2010,"Census Tract 4090, Alameda County, California",14000US06001409000,1454,74,3971,47,1899,27.9,1003,1479,3416,37526,344400,989,1371,3971,06,001,409000
2010,"Census Tract 4091, Alameda County, California",14000US06001409100,1538,99,2317,0,1107,29.1,702,372,2156,58106,268000,367,1054,2317,06,001,409100
2010,"Census Tract 4092, Alameda County, California",14000US06001409200,1306,26,2548,153,1270,30.8,795,704,2416,39605,411700,340,1088,2548,06,001,409200
2010,"Census Tract 4093, Alameda County, California",14000US06001409300,1994,190,5408,159,2656,31.3,1493,1819,4955,33772,399200,1347,1549,5408,06,001,409300
2010,"Census Tract 4094, Alameda County, California",14000US06001409400,567,56,4476,479,2234,26.3,1058,2542,3809,47115,335900,977,575,4476,06,001,409400
2010,"Census Tract 4095, Alameda County, California",14000US06001409500,737,164,3291,101,1485,26.9,788,1644,2876,42845,429500,517,605,3291,06,001,409500
2010,"Census Tract 4096, Alameda County, California",14000US06001409600,1896,71,5347,19,2462,26.3,1440,2010,4793,39779,422200,1200,1890,5347,06,001,409600
2010,"Census Tract 4097, Alameda County, California",14000US06001409700,2271,124,4647,157,2268,26.7,1491,1416,4205,33327,344600,1248,2128,4647,06,001,409700
2010,"Census Tract 4098, Alameda County, California",14000US06001409800,2798,447,3524,113,1808,34.1,1284,150,3147,45100,477000,818,2573,3524,06,001,409800
2010,"Census Tract 4099, Alameda County, California",14000US06001409900,2670,946,3025,174,1699,52.6,1341,272,2982,106382,615300,84,1639,3025,06,001,409900
2010,"Census Tract 4100, Alameda County, California",14000US06001410000,2408,793,3086,206,1646,42.8,1198,409,2935,73382,614100,330,1248,3086,06,001,410000
2010,"Census Tract 4101, Alameda County, California",14000US06001410100,2301,665,2810,0,1345,28.4,957,119,2642,52656,445200,410,1690,2810,06,001,410100
2010,"Census Tract 4102, Alameda County, California",14000US06001410200,1842,121,2972,168,1578,37.4,1061,502,2684,41331,298600,564,1851,2972,06,001,410200
2010,"Census Tract 4103, Alameda County, California",14000US06001410300,1715,143,4073,152,2034,28.6,1026,1353,3750,31951,400000,1314,1446,4073,06,001,410300
2010,"Census Tract 4104, Alameda County, California",14000US06001410400,1935,109,4424,331,2373,31.2,1315,1751,4230,50281,341300,882,1606,4424,06,001,410400
2010,"Census Tract 4105, Alameda County, California",14000US06001410500,1436,248,2348,448,1242,35.8,1066,552,2176,21843,372700,937,1296,2348,06,001,410500
2010,"Census Tract 4201, Alameda County, California",14000US06001420100,1592,1672,2346,417,1359,41,931,348,2210,107009,676800,74,12,2346,06,001,420100
2010,"Census Tract 4202, Alameda County, California",14000US06001420200,1738,1639,2902,795,1827,38.9,1230,758,2710,70125,612500,190,72,2902,06,001,420200
2010,"Census Tract 4203, Alameda County, California",14000US06001420300,2791,2148,4584,1709,2739,38.9,2061,1502,4475,71397,510600,343,162,4584,06,001,420300
2010,"Census Tract 4204, Alameda County, California",14000US06001420400,650,577,2757,1637,1790,29.7,914,1667,2300,38500,,584,92,2757,06,001,420400
2010,"Census Tract 4205, Alameda County, California",14000US06001420500,1191,1286,2170,408,1216,38.2,874,835,2030,64627,606500,197,86,2170,06,001,420500
2010,"Census Tract 4206, Alameda County, California",14000US06001420600,2011,2259,3162,408,1822,41.4,1273,632,2843,103315,723900,165,142,3162,06,001,420600
2010,"Census Tract 4211, Alameda County, California",14000US06001421100,1691,1587,2044,254,1150,53,854,335,1997,146053,892700,186,0,2044,06,001,421100
2010,"Census Tract 4212, Alameda County, California",14000US06001421200,2758,2750,3447,548,1765,51.5,1333,600,3334,158988,1000001,63,10,3447,06,001,421200
2010,"Census Tract 4213, Alameda County, California",14000US06001421300,2911,3109,3758,317,2126,46.7,1565,572,3532,117930,863500,166,0,3758,06,001,421300
2010,"Census Tract 4214, Alameda County, California",14000US06001421400,1209,1365,1696,122,996,47.7,646,240,1513,125268,928800,95,52,1696,06,001,421400
2010,"Census Tract 4215, Alameda County, California",14000US06001421500,3004,3045,3705,290,2086,50.1,1565,561,3469,138523,930100,124,10,3705,06,001,421500
2010,"Census Tract 4216, Alameda County, California",14000US06001421600,2696,2641,3591,417,2009,47.3,1571,557,3496,109018,878400,267,76,3591,06,001,421600
2010,"Census Tract 4217, Alameda County, California",14000US06001421700,2565,2311,3731,756,2111,35,1563,1052,3478,78397,734400,458,183,3731,06,001,421700
2010,"Census Tract 4218, Alameda County, California",14000US06001421800,1632,1350,2004,202,1168,43.1,832,221,1884,85645,732500,89,52,2004,06,001,421800
2010,"Census Tract 4219, Alameda County, California",14000US06001421900,2535,2070,3590,615,2477,42.9,1597,535,3319,89491,659000,86,355,3590,06,001,421900
2010,"Census Tract 4220, Alameda County, California",14000US06001422000,978,475,1313,285,858,35.9,514,154,1250,49688,519900,222,347,1313,06,001,422000
2010,"Census Tract 4221, Alameda County, California",14000US06001422100,1153,760,2251,300,1438,39.9,971,709,2120,43029,576400,596,421,2251,06,001,422100
2010,"Census Tract 4222, Alameda County, California",14000US06001422200,1704,1465,3019,720,2110,38.5,1531,1047,2886,51064,619200,228,375,3019,06,001,422200
2010,"Census Tract 4223, Alameda County, California",14000US06001422300,2407,1853,3031,641,1773,36.3,1517,618,2947,48079,660700,539,99,3031,06,001,422300
2010,"Census Tract 4224, Alameda County, California",14000US06001422400,2805,1997,4609,1793,2479,27.6,2190,1762,4551,36547,640400,1456,150,4609,06,001,422400
2010,"Census Tract 4225, Alameda County, California",14000US06001422500,3800,3377,5234,1120,2400,25.1,1567,1011,5174,35481,671500,1234,323,5234,06,001,422500
2010,"Census Tract 4226, Alameda County, California",14000US06001422600,645,311,1281,602,38,18.7,27,239,1281,6125,1000001,30,0,1281,06,001,422600
2010,"Census Tract 4227, Alameda County, California",14000US06001422700,2692,2060,3525,987,861,21.8,968,915,3486,34778,980200,856,80,3525,06,001,422700
2010,"Census Tract 4228, Alameda County, California",14000US06001422800,3482,2554,7784,3415,777,19.4,1412,2105,7784,20586,350000,1673,150,7784,06,001,422800
2010,"Census Tract 4229, Alameda County, California",14000US06001422900,2173,1251,3462,1627,1524,24.4,1747,1326,3391,24263,431300,1501,183,3462,06,001,422900
2010,"Census Tract 4230, Alameda County, California",14000US06001423000,2983,2444,4542,1148,2711,33,1997,1273,4308,71031,594300,738,381,4542,06,001,423000
2010,"Census Tract 4231, Alameda County, California",14000US06001423100,2711,1759,3792,492,2365,37.8,1802,811,3621,46530,596800,678,610,3792,06,001,423100
2010,"Census Tract 4232, Alameda County, California",14000US06001423200,1646,996,2533,93,1434,32.5,1020,452,2390,42289,484300,428,530,2533,06,001,423200
2010,"Census Tract 4233, Alameda County, California",14000US06001423300,2570,1109,3501,424,1955,37.7,1475,606,3279,57824,551100,377,1330,3501,06,001,423300
2010,"Census Tract 4234, Alameda County, California",14000US06001423400,2527,1383,4228,574,2337,33.8,1921,960,3966,43212,573400,709,966,4228,06,001,423400
2010,"Census Tract 4235, Alameda County, California",14000US06001423500,2927,2171,3999,407,2231,40.9,1320,670,3900,54318,635100,859,862,3999,06,001,423500
2010,"Census Tract 4236.01, Alameda County, California",14000US06001423601,2482,2373,3160,404,1423,27.4,1225,586,3045,80598,707100,762,45,3160,06,001,423601
2010,"Census Tract 4236.02, Alameda County, California",14000US06001423602,3068,1900,5355,2472,1635,22.3,2325,1354,5227,35316,519900,2166,126,5355,06,001,423602
2010,"Census Tract 4237, Alameda County, California",14000US06001423700,2541,2353,3472,615,1106,21.6,1156,447,3391,52407,1000001,648,34,3472,06,001,423700
2010,"Census Tract 4238, Alameda County, California",14000US06001423800,2236,2116,2737,274,1557,48.1,1213,331,2579,140924,1000001,48,22,2737,06,001,423800
2010,"Census Tract 4239.01, Alameda County, California",14000US06001423901,1337,874,1720,126,1186,38.2,769,113,1636,57986,460500,253,456,1720,06,001,423901
2010,"Census Tract 4239.02, Alameda County, California",14000US06001423902,1149,1200,1504,27,1103,45,757,235,1403,67457,834900,70,126,1504,06,001,423902
2010,"Census Tract 4240.01, Alameda County, California",14000US06001424001,2494,1473,3682,269,2279,31.2,1340,825,3569,52500,624100,716,919,3682,06,001,424001
2010,"Census Tract 4240.02, Alameda County, California",14000US06001424002,1509,441,2108,219,1277,35.4,899,316,2015,40273,410100,386,1038,2108,06,001,424002
2010,"Census Tract 4251.01, Alameda County, California",14000US06001425101,1231,1214,2085,739,1474,43.6,1341,688,1963,61542,360100,330,38,2085,06,001,425101
2010,"Census Tract 4251.02, Alameda County, California",14000US06001425102,1384,758,2054,920,1670,32,1477,670,2024,65827,477500,159,295,2054,06,001,425102
2010,"Census Tract 4251.03, Alameda County, California",14000US06001425103,1472,760,2355,700,1631,33.4,1206,539,2191,71494,495900,303,439,2355,06,001,425103
2010,"Census Tract 4251.04, Alameda County, California",14000US06001425104,1704,1053,2899,662,1997,34.7,1555,697,2802,49435,398300,617,591,2899,06,001,425104
2010,"Census Tract 4261, Alameda County, California",14000US06001426100,5037,4573,6055,1158,2999,47.2,2015,805,5862,184010,1000001,162,78,6055,06,001,426100
2010,"Census Tract 4262, Alameda County, California",14000US06001426200,3430,2950,4518,908,2477,43.5,1565,683,4278,168234,1000001,95,53,4518,06,001,426200
2010,"Census Tract 4271, Alameda County, California",14000US06001427100,2905,2488,3641,326,2057,44.7,1366,455,3421,107237,773500,94,145,3641,06,001,427100
2010,"Census Tract 4272, Alameda County, California",14000US06001427200,2444,1716,4639,1797,2605,35.4,1539,1526,4289,63344,551500,1035,199,4639,06,001,427200
2010,"Census Tract 4273, Alameda County, California",14000US06001427300,2720,2030,4639,1515,2798,42.4,1978,1121,4366,60655,623200,272,370,4639,06,001,427300
2010,"Census Tract 4276, Alameda County, California",14000US06001427600,1763,827,4184,1724,2303,33.3,1477,1808,3972,50337,502600,660,566,4184,06,001,427600
2010,"Census Tract 4277, Alameda County, California",14000US06001427700,2832,2189,4956,1571,3250,40.6,2243,1403,4701,65074,630500,616,482,4956,06,001,427700
2010,"Census Tract 4278, Alameda County, California",14000US06001427800,2789,2476,4458,1004,2654,40.5,1934,1229,4234,80223,689000,493,126,4458,06,001,427800
2010,"Census Tract 4279, Alameda County, California",14000US06001427900,3184,2649,4731,961,3065,41.3,2159,1129,4554,74453,721500,155,13,4731,06,001,427900
2010,"Census Tract 4280, Alameda County, California",14000US06001428000,1808,1249,3293,1172,1875,31.7,1338,994,3026,44688,392100,817,63,3293,06,001,428000
2010,"Census Tract 4281, Alameda County, California",14000US06001428100,3190,2718,4439,638,2852,36.8,1914,750,4180,79000,690100,302,112,4439,06,001,428100
2010,"Census Tract 4282, Alameda County, California",14000US06001428200,3956,3288,6132,1682,3450,43.2,2541,1385,5780,84350,662400,386,166,6132,06,001,428200
2010,"Census Tract 4283.01, Alameda County, California",14000US06001428301,3226,2252,6358,2973,3493,43.7,2341,2200,5989,92281,593700,414,267,6358,06,001,428301
2010,"Census Tract 4283.02, Alameda County, California",14000US06001428302,4824,3269,7058,2893,3887,46.5,2557,1567,6712,133221,810100,124,149,7058,06,001,428302
2010,"Census Tract 4284, Alameda County, California",14000US06001428400,2523,2022,4130,1197,2451,38.9,1756,1129,3846,55300,614400,600,289,4130,06,001,428400
2010,"Census Tract 4285, Alameda County, California",14000US06001428500,1626,1381,3426,1344,2050,37.9,1444,1371,3304,61318,600600,481,272,3426,06,001,428500
2010,"Census Tract 4286, Alameda County, California",14000US06001428600,1503,1232,3097,1239,1745,43.4,1462,1206,2944,71455,472900,251,188,3097,06,001,428600
2010,"Census Tract 4287, Alameda County, California",14000US06001428700,1846,849,3331,1009,1728,26.8,1128,774,3058,68063,857900,562,669,3331,06,001,428700
2010,"Census Tract 4301.01, Alameda County, California",14000US06001430101,3348,2614,6767,3281,4002,41.3,2265,2411,6366,121545,722000,156,86,6767,06,001,430101
2010,"Census Tract 4301.02, Alameda County, California",14000US06001430102,1482,1408,2225,410,1229,49.4,925,415,2159,93984,744900,76,124,2225,06,001,430102
2010,"Census Tract 4302, Alameda County, California",14000US06001430200,5055,4633,6803,1097,3707,45.7,2372,704,6452,108423,665000,102,88,6803,06,001,430200
2010,"Census Tract 4303, Alameda County, California",14000US06001430300,2786,2386,3750,553,1840,44.6,1279,659,3600,104417,658500,213,160,3750,06,001,430300
2010,"Census Tract 4304, Alameda County, California",14000US06001430400,1587,1377,1987,219,1100,47.5,758,301,1943,108636,661700,11,36,1987,06,001,430400
2010,"Census Tract 4305, Alameda County, California",14000US06001430500,3961,2232,5748,685,3309,39.3,1931,1105,5385,67721,559900,585,1401,5748,06,001,430500
2010,"Census Tract 4306, Alameda County, California",14000US06001430600,3744,2956,5715,1378,3067,44.7,2112,1241,5263,84572,614400,194,133,5715,06,001,430600
2010,"Census Tract 4307, Alameda County, California",14000US06001430700,2551,2274,3441,414,1862,41.9,1287,605,3323,90382,618500,277,44,3441,06,001,430700
2010,"Census Tract 4308, Alameda County, California",14000US06001430800,3642,3143,5507,1065,2983,42,2125,1191,5198,70893,549800,259,51,5507,06,001,430800
2010,"Census Tract 4309, Alameda County, California",14000US06001430900,2838,2343,4769,801,2602,36,1837,1082,4390,53582,469300,554,583,4769,06,001,430900
2010,"Census Tract 4310, Alameda County, California",14000US06001431000,1685,1089,2605,426,1501,34.3,1123,607,2473,47344,410000,404,49,2605,06,001,431000
